ZIP,LAT,LNG,COUNT
11001,40.723317,-73.704949,140
11003,40.699176,-73.706166,120
11004,40.746208,-73.711485,100
11005,40.756638,-73.714222,80
11010,40.700587,-73.675018,60
11020,40.771442,-73.714819,40
11021,40.784319,-73.731488,20
11023,40.798909,-73.733653,0
11024,40.816251,-73.742872,10
11030,40.793409,-73.688549,20
11040,40.745347,-73.680292,30
11042,40.758545,-73.697204,40
11050,40.8399,-73.693124,50
11096,40.621346,-73.75699,140
11101,40.74756,-73.938942,120
11102,40.772884,-73.926295,100
11103,40.762576,-73.913458,80
11104,40.744647,-73.920203,60
11105,40.778971,-73.90625,40
11106,40.762211,-73.931528,20
11109,40.745968,-73.957526,0
11201,40.6937,-73.989859,10
11203,40.64959,-73.934374,20
11204,40.618779,-73.984826,30
11205,40.694664,-73.966246,40
11206,40.701954,-73.942358,50
11207,40.670755,-73.894209,140
11208,40.668564,-73.87099,120
11209,40.622012,-74.030141,100
11210,40.628144,-73.946323,80
11211,40.712597,-73.953098,60
11212,40.662932,-73.913019,40
11213,40.671079,-73.936342,20
11214,40.599148,-73.99609,0
11215,40.662688,-73.98674,10
11216,40.680769,-73.949313,20
11217,40.682306,-73.978099,30
11218,40.643477,-73.976042,40
11219,40.632667,-73.996669,50
11220,40.641087,-74.016552,140
11221,40.69134,-73.927879,120
11222,40.72779,-73.947605,100
11223,40.597143,-73.973426,80
11224,40.577372,-73.988706,60
11225,40.663046,-73.954219,40
11226,40.646448,-73.956649,20
11228,40.616699,-74.013065,0
11229,40.601293,-73.944493,10
11230,40.622164,-73.965105,20
11231,40.677916,-74.005154,30
11232,40.657708,-74.004377,40
11233,40.678302,-73.919936,50
11234,40.606436,-73.909725,140
11235,40.583949,-73.949096,120
11236,40.639413,-73.900664,100
11237,40.70416,-73.921139,80
11238,40.679169,-73.9638,60
11239,40.647735,-73.879477,40
11351,40.780753,-73.825434,20
11354,40.768213,-73.827392,0
11355,40.751463,-73.820996,10
11356,40.784923,-73.841548,20
11357,40.785129,-73.810037,30
11358,40.760471,-73.796373,40
11359,40.791605,-73.776724,50
11360,40.780348,-73.781548,140
11361,40.764191,-73.772775,120
11362,40.756632,-73.735333,100
11363,40.772348,-73.746292,80
11364,40.745294,-73.760583,60
11365,40.739634,-73.79449,40
11366,40.728157,-73.785017,20
11367,40.730145,-73.82703,0
11368,40.749737,-73.853045,10
11369,40.763445,-73.872334,20
11370,40.765393,-73.893191,30
11371,40.774411,-73.873272,40
11372,40.751675,-73.883666,50
11373,40.738843,-73.878539,140
11374,40.726467,-73.861515,120
11375,40.720963,-73.84614,100
11377,40.74482,-73.905161,80
11378,40.724744,-73.909639,60
11379,40.716753,-73.879598,40
11385,40.700647,-73.889423,20
11411,40.694025,-73.736223,0
11412,40.698095,-73.758987,10
11413,40.671529,-73.752479,20
11414,40.657604,-73.844804,30
11415,40.7079,-73.828291,40
11416,40.684625,-73.849582,50
11417,40.676434,-73.844467,140
11418,40.700209,-73.836031,120
11419,40.688638,-73.822942,100
11420,40.673563,-73.817829,80
11421,40.69406,-73.858626,60
11422,40.660065,-73.736012,40
11423,40.715622,-73.768483,20
11424,40.714296,-73.827292,0
11425,40.607688,-74.023949,10
11426,40.736462,-73.722359,20
11427,40.730918,-73.745621,30
