,Voter registration check,Polling location finder,Twitter
Alabama,https://myinfo.alabamavotes.gov/VoterView/RegistrantSearch.do,https://myinfo.alabamavotes.gov/VoterView/PollingPlaceSearch.do,
Alaska,https://myvoterinformation.alaska.gov/,https://myvoterinformation.alaska.gov/,
Arizona,https://voter.azsos.gov/VoterView/RegistrantSearch.do,http://www.arizona.vote/home#1678087066,
Arkansas,https://www.voterview.ar-nova.org/VoterView/RegistrantSearch.do,https://www.voterview.ar-nova.org/VoterView/RegistrantSearch.do,
California,http://www.sos.ca.gov/elections/registration-status/,http://www.sos.ca.gov/elections/polling-place/,
Colorado,https://www.sos.state.co.us/voter-classic/pages/pub/olvr/findVoterReg.xhtml,https://www.sos.state.co.us/voter-classic/pages/pub/olvr/findVoterReg.xhtml,
Connecticut,http://www.dir.ct.gov/sots/LookUp.aspx,http://www.ct.gov/sots/cwp/view.asp?a=3172&q=512796,
Delaware,https://ivote.de.gov/voterlogin.aspx,https://ivote.de.gov/,
DC,https://www.dcboee.org/voter_info/reg_status/index.asp,https://www.vote4dc.com/SearchElection/SearchByAddress,
Florida,http://registration.elections.myflorida.com/CheckVoterStatus,https://registration.elections.myflorida.com/CheckVoterStatus,
Georgia,https://www.mvp.sos.ga.gov/MVP/mvp.do,https://www.mvp.sos.ga.gov/MVP/mvp.do,
Hawaii,https://olvr.hawaii.gov/,https://olvr.hawaii.gov/Default.aspx,
Idaho,http://www.idahovotes.gov/YPP_NEW/AmIRegistered.aspx,http://www.idahovotes.gov/YourPollingPlace/WhereDoIVote.aspx,
Illinois,https://ova.elections.il.gov/RegistrationLookup.aspx,https://ova.elections.il.gov/RegistrationLookup.aspx,
